,Text,Emotion
0,Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq,joy
1,@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!,joy
2,@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,joy
3,@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?,joy
4,@NationalGallery @ThePoldarkian I have always loved this painting.,joy
5,"@britishmuseum say wot, mate?",neutral
6,Two workshops on evaluating audience engagement @NationalGallery + @Cambridge_Uni early July http://t.co/8X3nLQVfQg http://t.co/4pNnjGzmEP,neutral
7,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas (@FitzMuseum_UK) http://t.co/e2MUQsbRBR",neutral
8,Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,joy
9,"""1...2..."" ""non arrête mon brush!"". l.Alma|A favourite custom|1909 @NationalGallery #bonlundi http://t.co/HpjvSJHGhP",neutral
10,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... http://t.co/wdV2lzmgLu via @NationalGallery",neutral
11,Yr 9 art students are off to the @britishmuseum today. Enjoy!,joy
12,@NationalGallery Indeed,neutral
13,“@britishmuseum: More #Waterloo200? Live #Periscope tonight with Dan Snow @thehistoryguy in #BonaparteAndTheBritish http://t.co/yEav7l6Lpq”,neutral
16,New digital installation by Girton Artist in Residence @SonnyVadgama will be projected on the façade of the @FitzMuseum_UK tonight from 9pm!,neutral
17,@BarbyWT @britishmuseum so beautiful,joy
18,I'm with (with Sussanna at @nationalgallery) [pic] — https://t.co/RT5OXRAmvR,neutral
19,@britishmuseum awesome museum,joy
20,@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?,anger
21,A sneak peek @BritishMuseum’s #IndigenousAustralia exhibition http://t.co/cZFrjkM2pK,neutral
22,Couldn't agree more ; counting the days till we see @kettlesyard again ! https://t.co/5Re1PZr3HZ,neutral
23,#bennicholson @kettlesyard http://t.co/niI8OQYb3e http://t.co/RBMeP7d3tM,neutral
24,@museum140 @NationalGallery of course! #InstaMuseum,neutral
25,@britishmuseum soo beautiful,joy
26,"@NationalGallery I do, I do, I do. :)",joy
27,@tateliverpool one of my favourite paintings! He was a great artist,joy
28,Free CPD afternoon for @PlymouthMuseum's 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at http://t.co/2ctn5flODc,neutral
29,The Magna Carta exhibition @britishmuseum was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,joy
31,@plymouthcc @PlymouthMuseum,neutral
32,"Kudos, @FitzMuseum_UK, for a top-flight WC exhibition!",joy
33,"Jack from @britishmuseum blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection - http://t.co/Tkd8aep3OT",neutral
34,@_TheWhitechapel @mitpress @monoskop http://t.co/fxp5kjuGV2,neutral
35,@stiveshouse @MillenniumArt @Tate_StIves @Tremenheere ooh... Please let us know how it is!!!,joy
38,@britishmuseum @Ophiolatrist Spain? Egypt?,neutral
39,Enjoying the amazing collections @britishmuseum with the family http://t.co/nSbD7DwNM1,joy
40,"Ædwen's Brooch - story of an #AngloSaxon lady, filmed at @WestStowNews for @ElyMuseum &amp; @britishmuseum exhibition https://t.co/oRdig1DerL",neutral
41,@NationalGallery Beautiful painting.  Thank you.,joy
42,#definingbeauty @britishmuseum a truly breathtaking exhibition.fascinating on portrayals of women http://t.co/lyoR6HJEqL,joy
43,@DavidSmithArt @ThelmaHulbert @LisaLooly @DrawntoDevon @MooseAllain @roshvarosha haha not in my case...,neutral
44,The Great Court of the @britishmuseum #london. #photography http://t.co/6Oy3PPHnXy,neutral
45,@NationalGallery https://t.co/GHm3lO0hXY 👋🎨,neutral
46,"@britishmuseum It's one of them things, innit?",neutral
47,Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* https://t.co/tJmlzSRVvv @_TheWhitechapel #London #Art,neutral
48,"@laiyaharvey thank you for the favourite, following you back, your mum @Andjustbeingme did a great job at #DefeatingDepression @RAMMuseum",joy
49,Treats for the end of June @HeatonsArtTrail followed by #JacksonPollock @tateliverpool *perfect summer*,joy
50,@Egondesign Is this Ivana moonlighting? @Tate_StIves #Hepworth http://t.co/N0fFLeGbU8,neutral
51,@tatteredstones @kettlesyard One of the best places in the country.,joy
52,@britishmuseum @SenderosP Rosetta stone,neutral
53,Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP @britishmuseum #Oz http://t.co/vdW5HT3g2S,neutral
54,@dr_shibley @britishmuseum Awwh - possum!,joy
55,"Only two more weeks to see our exhibition on Roman food @CoriniumMuseum - stunning objects from @britishmuseum , @silchexcavation &amp; Corinium",neutral
56,"Wonderful experience, hearing Tim Knox’s #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of @FitzMuseum_UK!",joy
57,A little bit of #Waterloo1815 history @ThelmaHulbert @HonitonTown today https://t.co/VCcFPrRh81,neutral
58,Hooray! @MooseAllain wins Evolver Prize 2015! See it at @ThelmaHulbert from 4 July. http://t.co/GYKpsOb0W6,joy
59,Fabulous Enid Blyton exhibition @PlymouthMuseum. Great for kids of ALL ages! @LoveOurPast http://t.co/zmsvCN4aH5,joy
60,"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more @kettlesyard #CastleHill15",neutral
61,"@britishmuseum @aroberts_andrew How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?",neutral
62,@britishmuseum coffin for babies?,neutral
63,"@NationalGallery Important art and true culture, to effectively counter the culture of violence http://t.co/Ax0RKtghS1",neutral
64,"Alla buon ora... Ti ho trovato finalmente... (at @BritishMuseum in London, Greater London) https://t.co/YYjpdv8H97",neutral
65,@7stories Enid Blyton exhib'n opens @PlymouthMuseum Wed 17 June! We've been helping set up http://t.co/OkrzbdXeVa http://t.co/9FDn5QZXbo,joy
66,KETTLE'S YARD: ANTIMUSEUM - meet the Archivist is buzzing! #CastleHill15 @kettlesyard #explorearchives http://t.co/c8UyiYMZpD,joy
67,"""Lot more I can do with £13.5m"": Director of @FitzMuseum_UK confirms they are not trying to buy export ban Cezanne http://t.co/cBzuD2P3pH",neutral
68,A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at @britishmuseum tomorrow with @LittleMissMoo,joy
70,Samba time! @britishmuseum @camdentalking #DiscoveryDay http://t.co/SHi5OPmVsN,joy
72,Lots of ancient artefacts to enjoy @britishmuseum #amazingplace #toomuchforaquickvisit http://t.co/utnDOEiGXO,joy
73,"I'm at @BritishMuseum in London, Greater London https://t.co/JxHG8pCw6s",neutral
74,St George slaying the dragon. German. 15th Century. @britishmuseum. Painted wooden church statuette http://t.co/BZrfSMJAwJ,neutral
75,Plus excellent prizes from the @britishmuseum http://t.co/soUo22G29A http://t.co/YrIWP415oR,joy
76,"Feliz cumpleaños,Rubens! Happy birthday,Rubens! @NationalGallery http://t.co/BeiJc5hNri http://t.co/UMRi93Y96C",joy
77,Behind the walls @_TheWhitechapel http://t.co/mylVk96joW,neutral
78,@BadDancer76 @SarahGee75 @tateliverpool midweek is better for me girls x,neutral
79,See Christopher Williams - The Production Line of Happiness - via @_TheWhitechapel http://t.co/uf8CYDsyiX http://t.co/tWTYeAD3Pe,neutral
80,. @NationalGallery What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery,anger
81,"@_TheWhitechapel  UNESCO-VENETO-THE OPERA una nuova idea di bellezza per l'Italia e il Mondo su, http://t.co/NsOuQRnFYV",neutral
82,"Big pocket required RT @appendixjournal Ancient Roman version of Swiss Army knife, 3rd century CE, at @fitzmuseum_UK. http://t.co/Pol8JwnLna",neutral
84,I Love Museums http://t.co/LblvLtgxmR via @camunivmuseums @zoologymuseum @socltweet,joy
85,.@IanLaveryMP can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSale @PCSCultureGroup,anger
86,@SumoJim @britishmuseum http://t.co/IoCtSXGtjl,neutral
87,"Excellent exhibition at @britishmuseum on Napoleonic era caricature/prints, well worth a look",joy
88,"I'm at @NationalGallery in London, Greater London https://t.co/qVJtN7jq5d",neutral
89,"In the Mesoamerican gallery at @BritishMuseum, Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits. http://t.co/dzlqOpA4Zo",neutral
91,@britishmuseum we love the badge! Here she is visiting Peel Park in 1851 http://t.co/VONu7avCip,joy
92,@britishmuseum @ahencyclopedia,neutral
93,@NationalGallery http://t.co/RCJUgBXuzM,neutral
94,#artcubed @stockleyacademy students day @NationalGallery #stockleyart #proudteacher http://t.co/DaI5AA8cp9,neutral
